input_size,hidden_size,training_loss,testing_loss
3,1,3.8596136569976807,3.8325772285461426
3,2,3.152930498123169,3.098278045654297
3,3,5.262091144686565e-05,5.1448394515318796e-05
3,4,0.0016095178434625268,0.0015878917183727026
3,5,0.00036928922054357827,0.00035834990558214486
3,6,4.018202889710665e-05,4.481119322008453e-05
3,7,0.00023115825024433434,0.0002546127652749419
3,8,0.0009580211481079459,0.0009392934734933078
3,9,3.5905301047023386e-05,3.491659299470484e-05
3,10,0.00020453438628464937,0.0002201832103310153
