input_size,hidden_size,training_loss,testing_loss
3,1,14.37040901,14.32387638
3,2,1.555654645,1.558428764
3,3,0.276477516,0.27484706
3,4,1.504586935,1.503919005
3,5,0.243240923,0.24025774
3,6,1.499432564,1.504272223
3,7,0.872112095,0.865983963
3,8,1.237111568,1.242034674
3,9,0.149780303,0.152597815
3,10,0.062088117,0.062612496
